id_empleado,nombre_completo,fecha_inicio,genero,edad,discapacidad,etnia,attrition,fecha_renuncia
1,"Lobato, Victorino",1983-12-07,varon,30,0,blanco,0,
2,"Galvez, Emperatriz",2010-03-16,mujer,22,0,griego,0,
3,"Rueda, Etelvina",2014-10-04,varon,29,0,griego,1,2019-03-04
4,"Piñeiro, Hector",2010-02-15,varon,68,0,indio,1,2014-07-16
5,"Hervás, Anacleto",1986-08-20,varon,48,0,blanco,0,
6,"Tejera, Olivia",1997-08-09,mujer,46,0,asiatico,1,2001-01-03
7,"Acero, Marciano",1994-05-27,varon,47,0,latino,0,
8,"Falcón, Manuelita",2016-08-21,mujer,30,0,griego,1,2018-06-29
9,"Seco, Bárbara",1994-07-02,varon,39,0,latino,1,1998-08-26
10,"Marcos, Ángel",2020-04-04,mujer,65,0,latino,1,2024-05-09
11,"Orozco, Hilario",1993-06-19,varon,51,0,indio,1,1997-10-23
12,"Folch, Xiomara",1982-04-30,varon,29,0,blanco,0,
13,"Godoy, Nicolasa",1987-01-23,mujer,68,0,griego,0,
14,"Santiago, Felipe",1992-04-28,mujer,52,0,griego,0,
15,"Iniesta, Buenaventura",2000-05-22,varon,53,0,latino,1,2002-11-14
16,"Pintor, Clemente",1989-07-31,mujer,40,0,latino,0,
17,"Molina, Néstor",1986-09-07,mujer,26,0,indio,1,1988-01-30
18,"Cabrero, Desiderio",1988-01-03,mujer,42,0,indio,0,
19,"Baeza, Isa",1997-06-12,mujer,69,0,afrodescendiente,1,1999-07-01
20,"Beltrán, Wilfredo",2020-10-21,otros,44,0,blanco,0,
21,"Andrade, Jenny",2003-09-04,varon,50,0,latino,1,2008-07-27
22,"Puig, Sebastián",1997-04-29,varon,50,0,asiatico,0,
23,"Múñiz, Octavio",2010-05-16,varon,19,0,indio,1,2013-10-17
24,"Llopis, Marcos",1985-07-29,varon,38,0,afrodescendiente,1,1989-12-11
25,"Guillén, Álvaro",1991-11-24,varon,20,0,griego,1,1993-03-29
26,"Franco, Martin",2005-08-24,varon,20,0,indio,1,2009-06-16
27,"Miró, Atilio",2015-05-28,mujer,31,0,asiatico,1,2016-03-31
28,"Hernando, Nicanor",2024-09-22,otros,24,0,griego,0,
29,"Doménech, Lucho",1993-10-18,otros,64,0,afrodescendiente,0,
30,"Pozuelo, Alondra",2014-09-07,mujer,62,0,asiatico,1,2017-01-11
31,"Porras, Pili",2024-03-12,mujer,36,0,afrodescendiente,1,2025-08-22
32,"España, Albino",1991-02-26,otros,22,0,blanco,0,
33,"Cervantes, José Luis",2018-07-05,mujer,36,0,asiatico,1,2022-03-31
34,"Molins, Federico",2005-10-04,varon,54,0,griego,0,
35,"Ramos, Cayetana",2005-07-24,mujer,32,0,griego,0,
36,"Agustí, Guillermo",1991-12-30,mujer,61,0,indio,1,1996-02-21
37,"Vilar, Roberto",1991-06-04,varon,57,0,latino,0,
38,"Ariño, Sebastián",1990-05-19,mujer,56,0,afrodescendiente,0,
39,"Canet, Luna",1986-02-20,otros,34,0,blanco,1,1990-03-16
40,"Gutiérrez, Bárbara",2004-11-27,varon,58,0,asiatico,1,2009-05-28
41,"Español, Andrés",1986-05-27,varon,38,0,latino,1,1990-10-28
42,"Barberá, Miguela",2001-11-04,mujer,64,0,indio,0,
43,"Mate, Isaías",1996-08-18,mujer,69,0,griego,1,1998-08-14
44,"Dueñas, Dalila",2008-12-02,mujer,45,0,asiatico,1,2010-01-22
45,"Ortega, Mauricio",1995-12-12,varon,64,0,latino,1,1998-01-26
46,"Cortina, Cayetano",2005-10-18,mujer,28,0,blanco,0,
47,"Acosta, Anselma",2011-07-07,mujer,19,0,blanco,0,
48,"Ortuño, Alex",2014-03-25,otros,56,0,latino,0,
49,"Cáceres, Rosario",2017-11-09,mujer,49,0,afrodescendiente,1,2022-12-21
50,"Galvez, Alcides",1998-11-27,mujer,22,0,asiatico,1,2000-05-10
