id_empleado,nombre_completo,fecha_inicio,genero,edad,discapacidad,etnia,attrition,fecha_renuncia,id_puesto,salario,mes,rol,departamento,seniority,tono_piel
1,"Lobato, Victorino",1983-12-07,varon,30,0,blanco,0,,76,15000.0,2025-03-01,Training,RRHH,LEAD,3
2,"Galvez, Emperatriz",2010-03-16,mujer,22,0,griego,0,,30,2850.0,2025-03-01,Manager MKT,Marketing,MID,2
3,"Rueda, Etelvina",2014-10-04,varon,29,0,griego,1,2019-03-04,24,15000.0,2025-03-01,Marketing,Marketing,LEAD,4
4,"Piñeiro, Hector",2010-02-15,varon,68,0,indio,1,2014-07-16,36,15000.0,2025-03-01,Content,Marketing,LEAD,7
5,"Hervás, Anacleto",1986-08-20,varon,48,0,blanco,0,,36,15000.0,2025-03-01,Content,Marketing,LEAD,1
6,"Tejera, Olivia",1997-08-09,mujer,46,0,asiatico,1,2001-01-03,52,14250.0,2025-03-01,Sysadmin,IT,LEAD,5
7,"Acero, Marciano",1994-05-27,varon,47,0,latino,0,,84,18000.0,2025-03-01,Analista,Finanzas,LEAD,7
8,"Falcón, Manuelita",2016-08-21,mujer,30,0,griego,1,2018-06-29,47,7600.0,2025-03-01,Data,IT,SR,3
9,"Seco, Bárbara",1994-07-02,varon,39,0,latino,1,1998-08-26,4,15000.0,2025-03-01,Ejecutivo,Ventas,LEAD,3
10,"Marcos, Ángel",2020-04-04,mujer,65,0,latino,1,2024-05-09,40,14250.0,2025-03-01,SEO,Marketing,LEAD,7
11,"Orozco, Hilario",1993-06-19,varon,51,0,indio,1,1997-10-23,96,18000.0,2025-03-01,Tesorería,Finanzas,LEAD,7
12,"Folch, Xiomara",1982-04-30,varon,29,0,blanco,0,,100,18000.0,2025-03-01,Finanzas Manager,Finanzas,LEAD,3
13,"Godoy, Nicolasa",1987-01-23,mujer,68,0,griego,0,,64,14250.0,2025-03-01,HR Analyst,RRHH,LEAD,2
14,"Santiago, Felipe",1992-04-28,mujer,52,0,griego,0,,60,14250.0,2025-03-01,Arquitecto,IT,LEAD,4
15,"Iniesta, Buenaventura",2000-05-22,varon,53,0,latino,1,2002-11-14,52,15000.0,2025-03-01,Sysadmin,IT,LEAD,6
16,"Pintor, Clemente",1989-07-31,mujer,40,0,latino,0,,64,14250.0,2025-03-01,HR Analyst,RRHH,LEAD,5
17,"Molina, Néstor",1986-09-07,mujer,26,0,indio,1,1988-01-30,64,14250.0,2025-03-01,HR Analyst,RRHH,LEAD,6
18,"Cabrero, Desiderio",1988-01-03,mujer,42,0,indio,0,,39,7600.0,2025-03-01,SEO,Marketing,SR,8
19,"Baeza, Isa",1997-06-12,mujer,69,0,afrodescendiente,1,1999-07-01,32,14250.0,2025-03-01,Manager MKT,Marketing,LEAD,6
20,"Beltrán, Wilfredo",2020-10-21,otros,44,0,blanco,0,,59,8000.0,2025-03-01,Arquitecto,IT,SR,2
21,"Andrade, Jenny",2003-09-04,varon,50,0,latino,1,2008-07-27,96,18000.0,2025-03-01,Tesorería,Finanzas,LEAD,5
22,"Puig, Sebastián",1997-04-29,varon,50,0,asiatico,0,,24,15000.0,2025-03-01,Marketing,Marketing,LEAD,1
23,"Múñiz, Octavio",2010-05-16,varon,19,0,indio,1,2013-10-17,96,18000.0,2025-03-01,Tesorería,Finanzas,LEAD,8
24,"Llopis, Marcos",1985-07-29,varon,38,0,afrodescendiente,1,1989-12-11,8,15000.0,2025-03-01,Representante,Ventas,LEAD,10
25,"Guillén, Álvaro",1991-11-24,varon,20,0,griego,1,1993-03-29,88,18000.0,2025-03-01,Contador,Finanzas,LEAD,3
26,"Franco, Martin",2005-08-24,varon,20,0,indio,1,2009-06-16,92,18000.0,2025-03-01,Controller,Finanzas,LEAD,5
27,"Miró, Atilio",2015-05-28,mujer,31,0,asiatico,1,2016-03-31,58,2850.0,2025-03-01,Arquitecto,IT,MID,9
28,"Hernando, Nicanor",2024-09-22,otros,24,0,griego,0,,14,3000.0,2025-03-01,Analista,Ventas,MID,2
29,"Doménech, Lucho",1993-10-18,otros,64,0,afrodescendiente,0,,16,15000.0,2025-03-01,Analista,Ventas,LEAD,11
30,"Pozuelo, Alondra",2014-09-07,mujer,62,0,asiatico,1,2017-01-11,26,2850.0,2025-03-01,Analista MKT,Marketing,MID,11
31,"Porras, Pili",2024-03-12,mujer,36,0,afrodescendiente,1,2025-08-22,71,7600.0,2025-03-01,HRBP,RRHH,SR,10
32,"España, Albino",1991-02-26,otros,22,0,blanco,0,,4,15000.0,2025-03-01,Ejecutivo,Ventas,LEAD,3
33,"Cervantes, José Luis",2018-07-05,mujer,36,0,asiatico,1,2022-03-31,68,14250.0,2025-03-01,Recruiter,RRHH,LEAD,3
34,"Molins, Federico",2005-10-04,varon,54,0,griego,0,,96,18000.0,2025-03-01,Tesorería,Finanzas,LEAD,4
35,"Ramos, Cayetana",2005-07-24,mujer,32,0,griego,0,,63,7600.0,2025-03-01,HR Analyst,RRHH,SR,2
36,"Agustí, Guillermo",1991-12-30,mujer,61,0,indio,1,1996-02-21,80,14250.0,2025-03-01,HR Manager,RRHH,LEAD,7
37,"Vilar, Roberto",1991-06-04,varon,57,0,latino,0,,16,15000.0,2025-03-01,Analista,Ventas,LEAD,5
38,"Ariño, Sebastián",1990-05-19,mujer,56,0,afrodescendiente,0,,19,7600.0,2025-03-01,BizDev,Ventas,SR,3
39,"Canet, Luna",1986-02-20,otros,34,0,blanco,1,1990-03-16,12,15000.0,2025-03-01,Gerente,Ventas,LEAD,3
40,"Gutiérrez, Bárbara",2004-11-27,varon,58,0,asiatico,1,2009-05-28,72,15000.0,2025-03-01,HRBP,RRHH,LEAD,5
41,"Español, Andrés",1986-05-27,varon,38,0,latino,1,1990-10-28,8,15000.0,2025-03-01,Representante,Ventas,LEAD,9
42,"Barberá, Miguela",2001-11-04,mujer,64,0,indio,0,,28,14250.0,2025-03-01,Analista MKT,Marketing,LEAD,7
43,"Mate, Isaías",1996-08-18,mujer,69,0,griego,1,1998-08-14,44,14250.0,2025-03-01,Dev,IT,LEAD,3
44,"Dueñas, Dalila",2008-12-02,mujer,45,0,asiatico,1,2010-01-22,24,14250.0,2025-03-01,Marketing,Marketing,LEAD,4
45,"Ortega, Mauricio",1995-12-12,varon,64,0,latino,1,1998-01-26,44,15000.0,2025-03-01,Dev,IT,LEAD,9
46,"Cortina, Cayetano",2005-10-18,mujer,28,0,blanco,0,,47,7600.0,2025-03-01,Data,IT,SR,2
47,"Acosta, Anselma",2011-07-07,mujer,19,0,blanco,0,,44,14250.0,2025-03-01,Dev,IT,LEAD,2
48,"Ortuño, Alex",2014-03-25,otros,56,0,latino,0,,16,15000.0,2025-03-01,Analista,Ventas,LEAD,10
49,"Cáceres, Rosario",2017-11-09,mujer,49,0,afrodescendiente,1,2022-12-21,65,950.0,2025-03-01,Recruiter,RRHH,JR,9
50,"Galvez, Alcides",1998-11-27,mujer,22,0,asiatico,1,2000-05-10,7,7600.0,2025-03-01,Representante,Ventas,SR,10
51,"Enríquez, Leocadia",2019-02-11,varon,56,0,blanco,1,2022-07-18,19,8000.0,2025-03-01,BizDev,Ventas,SR,1
52,"Pujol, Cristian",1998-03-19,varon,61,0,afrodescendiente,1,2000-11-04,20,15000.0,2025-03-01,BizDev,Ventas,LEAD,2
53,"Aguilar, Marcos",2006-12-23,mujer,59,0,latino,1,2010-12-04,80,14250.0,2025-03-01,HR Manager,RRHH,LEAD,4
54,"Querol, Bernabé",2024-06-01,mujer,44,0,indio,1,2026-04-03,43,7600.0,2025-03-01,Dev,IT,SR,8
55,"Agustí, Anastasia",1985-08-25,varon,19,0,griego,1,1986-10-20,64,15000.0,2025-03-01,HR Analyst,RRHH,LEAD,4
56,"Amor, Vicente",2008-12-07,varon,68,0,latino,1,2013-04-13,52,15000.0,2025-03-01,Sysadmin,IT,LEAD,7
57,"Llorens, Xavier",1983-05-05,varon,23,0,asiatico,0,,88,18000.0,2025-03-01,Contador,Finanzas,LEAD,8
58,"Escolano, Modesto",2004-04-01,varon,21,0,blanco,1,2006-09-19,84,18000.0,2025-03-01,Analista,Finanzas,LEAD,3
59,"Cabrera, Ernesto",1992-01-26,varon,26,0,afrodescendiente,1,1994-05-10,8,15000.0,2025-03-01,Representante,Ventas,LEAD,3
60,"Checa, Cándida",2011-05-23,mujer,27,0,asiatico,0,,24,14250.0,2025-03-01,Marketing,Marketing,LEAD,1
61,"Company, Patricia",1995-08-06,varon,22,0,blanco,1,1996-11-14,100,18000.0,2025-03-01,Finanzas Manager,Finanzas,LEAD,2
62,"Portero, Pío",2019-08-15,varon,43,0,latino,0,,98,3600.0,2025-03-01,Finanzas Manager,Finanzas,MID,8
63,"Sola, Evita",2005-11-15,varon,69,0,griego,1,2010-04-20,1,1000.0,2025-03-01,Ejecutivo,Ventas,JR,3
64,"Luna, Chita",1994-08-30,mujer,63,0,griego,1,1999-03-11,87,9120.0,2025-03-01,Contador,Finanzas,SR,3
65,"Gilabert, Vito",1992-03-11,mujer,47,0,latino,0,,35,7600.0,2025-03-01,Content,Marketing,SR,6
66,"Palomo, Maite",2010-09-29,mujer,28,0,blanco,0,,31,7600.0,2025-03-01,Manager MKT,Marketing,SR,2
